FILE NO,CLIENT NAME,CONTACT NO,EXECUTIVE,BANK RM,PROD, LOAN AMOUNT ,ASSET TYPE,TENOR,ROI,BANK,STATUS
45,T M ENTERPRISES,7923456781,ROHAN/MAULI,AKSHAY,CERL,"1,97,28,000", CRUSHER ,48,9.36,AXIS_BANK,Approved
46,T M ENTERPRISES,8034567892,ROHAN/MAULI,AKSHAY,CERL,"1,13,51,500", CRUSHER VSI ,48,9.72,AXIS_BANK,Approved
47,T M ENTERPRISES,8145678903,ROHAN/MAULI,AKSHAY,CERL,"35,25,000", DG SET ,48,10.26,AXIS_BANK,Approved
48,YASHAI INFRA,8256789014,ROHAN/TUKARAM,AKSHAY,CERL,"1,97,28,000",CONCRETE PUMP,48,9.36,AXIS_BANK,Pending
49,YASHAI INFRA,8367890125,ROHAN/TUKARAM,AKSHAY,CERL,"1,13,51,500",CONCRETE PUMP,60,9.72,AXIS_BANK,Pending
50,YASHAI INFRA,8478901236,ROHAN/TUKARAM,AKSHAY,CERL,"35,25,000",CEMENT SILO,50,10.26,AXIS_BANK,Pending
51,YASHAI INFRA,8589012347,ROHAN/TUKARAM,AKSHAY,CERL,"1,97,28,000",CEMENT SILO,45,9.36,AXIS_BANK,Pending
52,YASHAI INFRA,8690123458,ROHAN/TUKARAM,AKSHAY,CERL,"1,13,51,500",CEMENT SILO,47,9.72,AXIS_BANK,Pending
53,GPLD INFRA PROJECT PVT LTD,8791234569,KUMAR/ADITYA,AKSHAY,CERL,"30,00,000", TIPPER ,48,9.36,AXIS_BANK,Rejected
54,GPLD INFRA PROJECT PVT LTD,8902345670,KUMAR/ADITYA,AKSHAY,CERL,"30,00,000", TIPPER ,48,9.72,AXIS_BANK,Rejected
55,RIYAZ KADAR SHAIKH,9124567893,ROHAN/DHANANJAY,AKSHAY,CERL,1690000,CRANE,48,10.26,AXIS_BANK,Rejected
56,SHREE VINAYAK RMC,9013456782,ROHAN/SWAPNIL,AKSHAY,CERL,"30,00,000",EXCAVATOR ,48,9.36,AXIS_BANK,Rejected
57,SHREE VINAYAK RMC,9901234567,ROHAN/SWAPNIL,AKSHAY,CERL,"30,00,000",TIPPER,48,9.72,AXIS_BANK,Rejected
