FILE NO,CLIENT NAME,CONTACT NO,EXECUTIVE,BANK RM,PROD,LOAN AMOUNT,ASSET TYPE,TENOR,ROI,BANK,STATUS
79,ANANT RAJARAM TEMGIRE,7567890123,ROHAN/HENDRE,SAGAR MORE,UCERL,"17,13,107",TIPPER,47,17.02,CHOLA_FINANCE_BANK,Approved
80,SWAPNIL SANJAY GAIKWAD,8567890123,ROHAN/HENDRE,SAGAR MORE,UCERL,"19,80,002",TIPPER,47,17.02,CHOLA_FINANCE_BANK,Approved
81,VISION INFRA EQUIPMENT SOLUTIONS LIMITED,7678901234,KUMAR/ADITYA,VIVEK,UCERL,"5,00,00,000",TIPPER,48,11.02,CHOLA_FINANCE_BANK,Pending
82,SAIGURU INFRA AND RMC,8678901234,ROHAN/MAULI,VIVEK,CERL,"4,23,00,000",TRANSIT MIXER,48,9.5,CHOLA_FINANCE_BANK,Pending
83,MURHE REDYMIX CONCRTET,9789012345,ROHAN/TUKARAM,VIVEK,CERL,"37,00,000",CONCRTETE PUMP,48,11,CHOLA_FINANCE_BANK,Pending
84,SURAJ MACHINDRA MAHDIK,9890123456,ROHAN/HENDRE,SAGAR MORE,UCERL,"30,00,000",EXCAVATOR,48,10.23,CHOLA_FINANCE_BANK,Pending
85,SHRIKRUSHAN DAREKAR,9901234567,ROHAN/HENDRE,SAGAR MORE,CERL,"55,00,000",EXCAVATOR,48,9.56,CHOLA_FINANCE_BANK,Pending
86,MANOJ KHANDU KARGAL,7789012345,ROHAN/MAULI,VIVEK,CERL,"55,00,000",EXCAVATOR,60,11.02,CHOLA_FINANCE_BANK,Rejected
87,SHRIKANT TATYARAM SAYKAR,8789012345,ROHAN/MAULI,VIVEK,CERL,"55,00,000",EXCAVATOR,60,9.5,CHOLA_FINANCE_BANK,Rejected
88,AJINATH BALASAHEB GADADE,9456789012,ROHAN/MAULI,VIVEK,CERL,"55,00,000",EXCAVATOR,60,11,CHOLA_FINANCE_BANK,Rejected
89,HANUMANT BAPU SAYKAR,9567890123,ROHAN/MAULI,VIVEK,CERL,"55,00,000",EXCAVATOR,60,10.23,CHOLA_FINANCE_BANK,Rejected
90,GAJANAN AJINATH KANGUDE,9678901234,ROHAN/MAULI,VIVEK,CERL,"55,00,000",EXCAVATOR,60,9.56,CHOLA_FINANCE_BANK,Rejected
