FILE NO,CLIENT NAME,CONTACT NO,EXECUTIVE,BANK RM,PROD,LOAN AMOUNT,ASSET TYPE,TENOR,ROI,BANK,STATUS
91,GPLD INFRA PROJECTS PVT LTD,7890123456,KUMAR/ADITYA,MAHESH,CERL,"1,01,75,000",EXCAVATOR,60,9.52,FEDERAL_BANK,Approved
92,GPLD INFRA PROJECTS PVT LTD,8890123456,KUMAR/ADITYA,MAHESH,CERL,"1,86,00,000",JAW CRUSHER,60,9.52,FEDERAL_BANK,Approved
93,JADHAV CONSTRUCTION AND POWER COMPANY PVT LTD,7901234567,ASHOK/TUKARAM,MAHESH,CERL,"40,00,000",TRANSIT MIXER,48,10.23,FEDERAL_BANK,Pending
94,JADHAV CONSTRUCTION AND POWER COMPANY PVT LTD,8901234567,ASHOK/TUKARAM,MAHESH,CERL,"40,00,000",TRANSIT MIXER,48,10.5,FEDERAL_BANK,Pending
95,DECCAN INFRAVENTURE PVT LTD,8012345678,ROHAN/MAYURESH,MAHESH,CERL,"45,00,000",TRANSIT MIXER,48,11.02,FEDERAL_BANK,Rejected
96,DECCAN INFRAVENTURE PVT LTD,9012345678,ROHAN/MAYURESH,MAHESH,CERL,"45,00,000",TRANSIT MIXER,48,9.5,FEDERAL_BANK,Rejected
97,DECCAN INFRAVENTURE PVT LTD,9123456789,ROHAN/MAYURESH,MAHESH,CERL,"45,00,000",TRANSIT MIXER,48,11,FEDERAL_BANK,Rejected
98,DECCAN INFRAVENTURE PVT LTD,9234567890,ROHAN/MAYURESH,MAHESH,CERL,"45,00,000",TIPPER,48,10.23,FEDERAL_BANK,Rejected
99,DECCAN INFRAVENTURE PVT LTD,9345678901,ROHAN/MAYURESH,MAHESH,CERL,"45,00,000",TIPPER,48,9.56,FEDERAL_BANK,Rejected
100,DECCAN INFRAVENTURE PVT LTD,9345633901,ROHAN/MAYURESH,MAHESH,CERL,"90,00,000",TIPPER,48,9.56,FEDERAL_BANK,Rejected
